IDWalker,PathogenHumanWake,PathogenHumanCircular,MaximumProbableContacts,Scenario
97,604975,0,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
98,1136572,4657623,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
99,1414913,0,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
100,1647938,26224,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
101,1207463,0,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
102,1199039,191913,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
103,829249,2885873,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
104,1114624,0,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
105,1264220,0,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
106,782815,409006,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
107,1054982,412606,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
108,728416,277796,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
109,1381408,0,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
110,955621,0,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
111,1322041,327203,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
112,630096,0,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
113,1018127,459840,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
114,953014,0,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
115,1143613,0,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
116,812979,601586,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
117,1324639,1386746,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
118,1003912,0,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
119,702301,80487,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
120,718685,784727,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
121,391579,0,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
122,1255460,4175801,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
123,1096900,1487741,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
124,770699,1857314,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
125,1156557,0,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
126,851654,0,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
127,1640157,921099,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
128,1260479,2707512,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
129,1717911,6321894,2.89E+09,|Dur=1200.0 (s)|Pop=1000|Spe=1.00 (m/s)|XIn=5.00 (s)|Den=0.471|TPa=120000|Dec=N;CT=N/A|Rad=2.50 (m)|Run#3
